Date,Stock,Country,ISIN,Description,Currency,Gross_Income
2021-12-31 10:30:00,,,,Flatex Interest,EUR,"-0,02"
2021-12-29 16:32:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,56 EUR",,
2021-12-29 16:32:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-0,56"
2021-12-29 11:02:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 15,82 EUR",,
2021-12-29 11:02:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-15,82"
2021-12-29 07:37:00,,,,Ingreso Cambio de Divisa,EUR,"0,56"
2021-12-29 07:37:00,,,,Retirada Cambio de Divisa,USD,"-0,64"
2021-12-28 16:31:00,,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 842,85 EUR",,
2021-12-28 16:31:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"842,85"
2021-12-28 15:30:00,KYNDRYL HOLDINGS INC,United States (USA),US50155Q1004,Retirada Cambio de Divisa,USD,"-18,50"
2021-12-28 15:30:00,KYNDRYL HOLDINGS INC,United States (USA),US50155Q1004,Ingreso Cambio de Divisa,EUR,"16,32"
2021-12-28 15:30:00,KYNDRYL HOLDINGS INC,United States (USA),US50155Q1004,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,50"
2021-12-28 15:30:00,KYNDRYL HOLDINGS INC,United States (USA),US50155Q1004,"Venta 1 KYNDRYL HOLDINGS INC@18,5 USD (US50155Q1004)",USD,"18,50"
2021-12-28 13:53:00,UMANIS,France (FRA),FR0013263878,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-4,40"
2021-12-28 13:53:00,UMANIS,France (FRA),FR0013263878,Compra 60 UMANIS@15 EUR (FR0013263878),EUR,"-900,00"
2021-12-28 13:52:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-4,40"
2021-12-28 13:52:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,"Venta 1 UMANIS INH. EO -,11@14,95 EUR (FR0013263878)",EUR,"14,95"
2021-12-28 13:52:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-4,40"
2021-12-28 13:52:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,"Venta 2 UMANIS INH. EO -,11@14,95 EUR (FR0013263878)",EUR,"29,90"
2021-12-28 13:52:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-4,40"
2021-12-28 13:52:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,"Venta 2 UMANIS INH. EO -,11@14,95 EUR (FR0013263878)",EUR,"29,90"
2021-12-28 08:50:00,,,,flatex Deposit,EUR,"800,00"
2021-12-28 08:07:00,FEDEX CORPORATION COMM,United States (USA),US31428X1063,Dividendo,USD,"0,75"
2021-12-28 08:07:00,FEDEX CORPORATION COMM,United States (USA),US31428X1063,RetenciÃ³n del dividendo,USD,"-0,11"
2021-12-24 09:46:00,,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 208,88 EUR",,
2021-12-24 09:46:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"208,88"
2021-12-23 16:31:00,,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 214,5 EUR",,
2021-12-23 16:31:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"214,50"
2021-12-23 15:54:00,DOLE PLC,Ireland (IRL),IE0003LFZ4U7,Ingreso Cambio de Divisa,USD,"234,90"
2021-12-23 15:54:00,DOLE PLC,Ireland (IRL),IE0003LFZ4U7,Retirada Cambio de Divisa,EUR,"-208,38"
2021-12-23 15:54:00,DOLE PLC,Ireland (IRL),IE0003LFZ4U7,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,50"
2021-12-23 15:54:00,DOLE PLC,Ireland (IRL),IE0003LFZ4U7,"Compra 18 DOLE PLC@13,05 USD (IE0003LFZ4U7)",USD,"-234,90"
2021-12-23 12:46:00,,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 292,46 EUR",,
2021-12-23 12:46:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"292,46"
2021-12-23 09:40:00,ENCE,Spain (ESP),ES0130625512,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,50"
2021-12-23 09:40:00,ENCE,Spain (ESP),ES0130625512,"Compra 50 ENCE@2,19 EUR (ES0130625512)",EUR,"-109,50"
2021-12-23 09:33:00,HOLALUZ-CLIDOM SA,Spain (ESP),ES0105456026,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,50"
2021-12-23 09:33:00,HOLALUZ-CLIDOM SA,Spain (ESP),ES0105456026,Compra 8 HOLALUZ-CLIDOM SA@13 EUR (ES0105456026),EUR,"-104,00"
2021-12-22 19:18:00,META PLATFORMS INC,United States (USA),US30303M1027,Ingreso Cambio de Divisa,USD,"329,91"
2021-12-22 19:18:00,META PLATFORMS INC,United States (USA),US30303M1027,Retirada Cambio de Divisa,EUR,"-291,96"
2021-12-22 19:18:00,META PLATFORMS INC,United States (USA),US30303M1027,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,50"
2021-12-22 19:18:00,META PLATFORMS INC,United States (USA),US30303M1027,"Compra 1 Meta Platforms Inc@329,909 USD (US30303M1027)",USD,"-329,91"
2021-12-22 11:40:00,,,,flatex Deposit,EUR,"800,00"
2021-12-20 16:47:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,51 EUR",,
2021-12-20 16:47:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-0,51"
2021-12-18 08:36:00,,,,Ingreso Cambio de Divisa,EUR,"0,51"
2021-12-18 08:36:00,,,,Retirada Cambio de Divisa,USD,"-0,58"
2021-12-17 17:47:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,31 EUR",,
2021-12-17 17:47:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-0,31"
