Date,Stock,Country,ISIN,Exchange,Quantity,Price,Currency,Local_Gross_Value,Gross_Value_EUR,Exchange_Rate,Fees
2021-12-28 15:30:00,KYNDRYL HOLDINGS INC,United States (USA),US50155Q1004,NSY,-1,18.5,USD,18.5,16.36,1.1309,-0.5
2021-12-28 13:53:00,UMANIS,France (FRA),FR0013263878,EPA,60,15.0,EUR,-900.0,-900.0,,-4.4
2021-12-28 13:52:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,FRA,-1,14.95,EUR,14.95,14.95,,-4.4
2021-12-28 13:52:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,FRA,-2,14.95,EUR,29.9,29.9,,-4.4
2021-12-28 13:52:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,FRA,-2,14.95,EUR,29.9,29.9,,-4.4
2021-12-23 15:54:00,DOLE PLC,Ireland (IRL),IE0003LFZ4U7,NSY,18,13.05,USD,-234.9,-207.86,1.1301,-0.5
2021-12-23 09:40:00,ENCE,Spain (ESP),ES0130625512,MAD,50,2.19,EUR,-109.5,-109.5,,-0.5
2021-12-23 09:33:00,HOLALUZ-CLIDOM SA,Spain (ESP),ES0105456026,MAD,8,13.0,EUR,-104.0,-104.0,,-0.5
2021-12-22 19:18:00,META PLATFORMS INC,United States (USA),US30303M1027,NDQ,1,329.909,USD,-329.91,-291.24,1.1328,-0.5
2021-12-15 09:29:00,RED ELECTRICA CORPORACION SA,Spain (ESP),ES0173093024,MAD,2,18.83,EUR,-37.66,-37.66,,
2021-11-16 09:33:00,ENCE,Spain (ESP),ES0130625512,MAD,31,2.546,EUR,-78.93,-78.93,,-2.04
2021-11-08 18:00:00,ADVANCED MICRO DEVICES,United States (USA),US0079031078,NDQ,1,149.95,USD,-149.95,-129.38,1.159,-0.5
2021-11-08 17:39:00,TAKE-TWO INTERACTIVE S,United States (USA),US8740541094,NDQ,-1,182.02,USD,182.02,157.06,1.1589,-0.5
2021-11-04 00:00:00,KYNDRYL HOLDINGS INC,United States (USA),US50155Q1004,NSY,1,0.0,USD,0.0,0.0,1.1738,
2021-11-03 15:44:00,ADVANCED MICRO DEVICES,United States (USA),US0079031078,NDQ,1,127.47,USD,-127.47,-110.12,1.1576,-0.5
2021-11-03 15:43:00,INTEL CORPORATION - CO,United States (USA),US4581401001,NDQ,-2,50.02,USD,100.04,86.42,1.1576,-0.51
2021-11-01 14:30:00,COCA COLA FEMSA S.A.B.,Mexico (MEX),US1912411089,NSY,2,53.72,USD,-107.44,-92.81,1.1576,-0.01
2021-11-01 14:30:00,COCA COLA FEMSA S.A.B.,Mexico (MEX),US1912411089,NSY,1,53.72,USD,-53.72,-46.41,1.1576,-0.5
2021-10-29 19:45:00,INTERNATIONAL BUSINESS,United States (USA),US4592001014,NSY,4,125.66,USD,-502.64,-435.04,1.1554,-0.51
2021-10-27 15:30:00,ADVANCED MICRO DEVICES,United States (USA),US0079031078,NDQ,1,121.54,USD,-121.54,-104.59,1.1621,-0.5
2021-10-14 16:19:00,INTERNATIONAL BUSINESS,United States (USA),US4592001014,NSY,4,142.76,USD,-571.04,-492.49,1.1595,-0.51
2021-10-08 17:16:00,SONY CORPORATION COMMO,Japan (JPN),US8356993076,NSY,2,107.36,USD,-214.72,-185.46,1.1578,-0.51
2021-10-08 16:39:00,NAGARRO SE,Germany (DEU),DE000A3H2200,XET,1,142.0,EUR,-142.0,-142.0,,-4.07
2021-10-08 13:28:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,FRA,1,14.9,EUR,-14.9,-14.9,,-7.51
2021-10-08 13:28:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,FRA,1,14.9,EUR,-14.9,-14.9,,-7.51
2021-10-08 13:27:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,FRA,1,14.9,EUR,-14.9,-14.9,,-7.51
2021-10-01 15:59:00,DOLE PLC,Ireland (IRL),IE0003LFZ4U7,NSY,2,16.3,USD,-32.6,-28.1,1.1601,-0.51
2021-10-01 09:02:00,FLATEXDEGIRO AG NA O.N.,Germany (DEU),DE000FTG1111,FRA,2,18.0,EUR,-36.0,-36.0,,
2021-09-29 18:39:00,FEDEX CORPORATION COMM,United States (USA),US31428X1063,NSY,1,221.26,USD,-221.26,-190.69,1.1603,-0.5
2021-09-27 19:48:00,MICROSOFT CORPORATION,United States (USA),US5949181045,NDQ,1,293.81,USD,-293.81,-251.12,1.17,-0.5
2021-09-14 08:01:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,FRA,2,15.75,EUR,-31.5,-31.5,,-7.53
2021-09-02 00:00:00,FLATEXDEGIRO AG NA O.N.,Germany (DEU),DE000FTG1111,FRA,4,22.6,EUR,-90.4,-90.4,,
2021-09-02 00:00:00,FLATEXDEGIRO AG NA O.N.,Germany (DEU),DE000FTG1111,FRA,-1,90.4,EUR,90.4,90.4,,
2021-08-31 11:12:00,MAPFRE,Spain (ESP),ES0124244E34,MAD,-1,1.82,EUR,1.82,1.82,,-2.0
2021-08-31 09:09:00,MAPFRE,Spain (ESP),ES0124244E34,MAD,1,1.81,EUR,-1.81,-1.81,,-2.0
2021-08-30 21:24:00,CORSAIR GAMING INC,United States (USA),US22041X1028,NDQ,-1,28.17,USD,28.17,23.87,1.1799,-0.5
2021-08-30 16:09:00,CORSAIR GAMING INC,United States (USA),US22041X1028,NDQ,1,27.04,USD,-27.04,-22.93,1.1794,-0.5
2021-08-30 16:01:00,DOLE PLC,Ireland (IRL),IE0003LFZ4U7,NSY,8,16.26,USD,-130.08,-110.33,1.179,-0.53
2021-08-30 15:59:00,META PLATFORMS INC,United States (USA),US30303M1027,NDQ,1,373.95,USD,-373.95,-317.2,1.1789,-0.5
2021-08-30 09:08:00,FLATEXDEGIRO AG NA O.N.,Germany (DEU),DE000FTG1111,FRA,1,87.45,EUR,-87.45,-87.45,,
2021-08-19 15:30:00,DOLE PLC,Ireland (IRL),IE0003LFZ4U7,NSY,4,15.35,USD,-61.4,-52.5,1.1695,-0.51
2021-08-16 12:11:00,TELEFONICA,Spain (ESP),ES0178430E18,MAD,-15,4.232,EUR,63.48,63.48,,-2.03
2021-07-29 09:06:00,TELEFONICA,Spain (ESP),ES0178430E18,MAD,15,3.76,EUR,-56.4,-56.4,,-2.03
2021-07-28 12:25:00,TELEFONICA,Spain (ESP),ES0178430E18,MAD,-10,3.8185,EUR,38.19,38.19,,-2.02
2021-07-27 16:50:00,COCA-COLA COMPANY (THE,United States (USA),US1912161007,NSY,1,57.305,USD,-57.31,-48.51,1.1813,-0.5
2021-07-27 16:44:00,NETEASE INC. - AMERIC,China (CHN),US64110W1027,NDQ,-1,84.4401,USD,84.44,71.48,1.1813,-0.5
2021-07-27 09:00:00,TELEFONICA,Spain (ESP),ES0178430E18,MAD,10,3.781,EUR,-37.81,-37.81,,-2.02
2021-07-26 17:31:00,INTEL CORPORATION - CO,United States (USA),US4581401001,NDQ,2,54.01,USD,-108.02,-91.48,1.1808,-0.51
2021-07-26 17:25:00,TAKE-TWO INTERACTIVE S,United States (USA),US8740541094,NDQ,1,172.13,USD,-172.13,-145.75,1.181,-0.5
2021-07-26 17:23:00,COCA COLA FEMSA S.A.B.,Mexico (MEX),US1912411089,NSY,2,53.49,USD,-106.98,-90.58,1.1811,-0.51
2021-07-26 17:23:00,INTERNATIONAL BUSINESS,United States (USA),US4592001014,NSY,1,142.52,USD,-142.52,-120.67,1.1811,-0.5
2021-07-26 17:22:00,VERIZON COMMUNICATIONS,United States (USA),US92343V1044,NSY,1,55.61,USD,-55.61,-47.08,1.1812,-0.5
2021-07-26 17:21:00,NETEASE INC. - AMERIC,China (CHN),US64110W1027,NDQ,1,95.37,USD,-95.37,-80.74,1.1812,-0.5
2021-07-26 17:21:00,WALT DISNEY COMPANY (T,United States (USA),US2546871060,NSY,1,177.44,USD,-177.44,-150.22,1.1812,-0.5
2021-07-26 17:20:00,TAIWAN SEMICONDUCTOR M,Taiwan (TWN),US8740391003,NSY,1,115.33,USD,-115.33,-97.64,1.1812,-0.5
2021-07-26 17:19:00,QUALCOMM INCORPORATED,United States (USA),US7475251036,NDQ,1,143.0,USD,-143.0,-121.05,1.1813,-0.5
